Fertility,Magma_Series,Al,As,Au,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sb,Si,Te,Ti,V,W,Y,Zn
1,K,65624.16634,1480,0.067,48813.55207,46,10,92,98970.25673,3486.624204,22796.27884,2942.937694,26632.49435,54,480.0197266,0,4600,2.16,222046.0975,0.01,9949.192438,450,4,34.3,116
1,K,16564.80973,967,14.35,26086.30528,59,1510,9,45113.65059,6724.203822,90159.88588,774.4572878,1186.963537,869,0,0,100,17.2,239342.3199,0.09,899.023413,83,8,3,27
1,K,26831.8164,369,4.09,28373.32382,73,1930,24,58892.54853,3071.549894,87144.50509,1084.240203,1557.889642,1175,0,2,100,9.58,238874.8544,0.07,1558.307249,115,6,6,62
1,K,23921.06709,1080,0.846,33304.70756,69,1900,23,57843.39386,7388.322718,121821.3843,929.3487454,667.6669894,1010,0,0,2800,2.66,166417.7068,0.2,1198.697884,104,8,4.8,50
1,K,31330.24716,76.8,0.255,120068.4736,100,2670,74,59242.26675,83.014862,69655.29645,2865.491965,148.3704421,1195,87.27631394,7,300,0.36,165950.2413,0.03,1917.916614,145,11,4.4,112
1,K,24291.52609,63.4,0.263,37950.21398,68,1830,30,56094.80276,1494.267516,114886.0084,929.3487454,6083.188125,1010,0,3,3100,0.79,166417.7068,0.07,1438.437461,103,7,5.6,56
1,K,29213.33856,280,1.135,45025.6776,70,2130,81,65187.47652,9878.768577,104030.6376,1084.240203,1409.5192,791,0,0,6400,3.5,156133.4665,0.03,1738.111932,125,10,6.3,47
1,K,29795.48843,250,1.18,52029.6719,56,2110,38,57283.84471,12037.15499,80209.12925,851.9030166,1186.963537,489,43.63815697,2,13400,16.2,192128.3075,0.12,1678.177038,138,24,5.6,40
1,K,22121.69478,849,7.46,29016.54779,62,1770,15,50429.36756,2407.430998,99809.10444,774.4572878,296.7408842,951,0,2,1800,3.38,224383.4249,0.24,1078.828096,97,9,4.1,51
1,K,22597.99922,1235,0.089,30517.40371,83,2250,22,63998.43456,9878.768577,123027.5366,1161.685932,593.4817683,1185,0,0,300,15.55,148654.019,0.35,1498.372355,119,10,6.1,78
1,CA,37045.90035,370,0.025,77544.22254,103,3080,46,74140.26299,3486.624204,35581.49343,3872.286439,18917.23136,1200,43.63815697,0,3700,161,208489.5989,0.02,2397.395768,159,5,5.8,75
1,CA,38739.42723,646,0.028,73256.06277,63,2300,18,62459.67439,10376.85775,121218.3081,1006.794474,11053.59793,661,0,2,0,16.9,80637.79331,0.07,1857.98172,144,23,6.9,50
1,CA,19898.94076,1085,3.2,43381.88302,68,1890,17,53856.60614,2739.490446,110966.0134,1006.794474,3857.631494,1100,0,0,0,48.1,167352.6377,0.09,1138.76299,99,7,4.1,57
1,CA,19105.10004,1090,13.8,58176.03424,68,1690,12,50779.08579,166.029724,100412.1806,1006.794474,593.4817683,1095,0,0,400,30.4,182311.5327,0.07,1018.893201,101,7,3.7,43
1,CA,38104.35465,131,1.14,70325.82026,90,2180,62,72041.95366,0,95587.57132,929.3487454,74.18522104,768,43.63815697,0,7100,0.64,174364.6197,0.09,2157.656191,166,21,7.9,50
1,CA,28472.42056,242,0.315,39736.94722,76,2140,41,65117.53287,2075.37155,107950.6326,1239.131661,4228.557599,1095,43.63815697,2,3400,6.41,169222.4996,0.09,1618.242143,118,5,6.1,63
1,CA,31647.78344,692,6.28,38807.84593,76,2150,208,67006.01127,0,102824.4852,1084.240203,445.1113262,1080,218.1907848,0,4200,3.92,195868.0313,0.08,1798.046826,137,8,7.9,44
1,CA,31065.63358,309,2.96,43524.82168,79,2230,58,70992.799,83.014862,107649.0945,1239.131661,1706.260084,1015,87.27631394,0,1600,1.06,175767.0161,0.02,1917.916614,136,10,6.6,77
1,CA,32812.08317,10000,1.515,97198.28816,67,2820,63,121701.9411,7388.322718,35883.03151,4646.743727,7789.448209,702,87.27631394,0,20900,6.77,138369.7787,0.15,2157.656191,161,16,12.9,60
1,CA,17464.49588,49,0.561,24013.69472,71,1520,14,48261.11459,3735.66879,98904.4902,774.4572878,1409.5192,936,0,0,1600,3.64,217371.4428,0.04,899.023413,76,6,3.4,78
1,CA,20004.78619,677,0.281,19368.1883,53,1710,17,52247.90232,8052.441614,89858.3478,851.9030166,1112.778316,598,0,0,600,5.85,232330.3378,0.03,1078.828096,93,6,4.2,54
0,CA,15876.81444,1020,0.118,21011.98288,60,1560,14,47072.07264,2407.430998,107347.5564,697.0115591,2819.038399,1025,0,0,0,17.65,213164.2536,0.22,899.023413,75,8,3.6,51
0,CA,26673.04825,706,0.18,64465.33524,75,2170,46,67915.27865,1328.237792,95587.57132,1548.914576,4822.039368,1055,43.63815697,0,900,14.05,163145.4485,0.02,1678.177038,122,2,5.5,69
1,CA,22650.92193,3.7,0.021,49599.71469,76,1790,22,60501.25235,0,126645.9935,1084.240203,0,1275,43.63815697,3,0,0.67,154263.6046,0.02,1198.697884,96,1,4.5,51
1,CA,53451.94194,134.5,2.36,130074.1797,38,570,82,78686.59987,0,94381.419,1858.697491,74.18522104,418,392.7434127,4,10600,0.47,101440.0067,0.26,7012.382622,319,27,13.7,80
1,CA,15559.27815,440,29.8,56818.11698,45,1230,30,42805.51033,1826.326964,39260.258,1316.577389,222.5556631,610,130.9144709,0,900,7.19,296373.107,0.07,958.9583072,71,10,3.3,28
1,CA,13495.29227,784,0.164,73613.40942,40,1140,3,38888.66625,4482.802548,74781.44381,1006.794474,1112.778316,598,0,0,500,10.55,202880.0133,0.06,779.1536246,63,5,2.7,25
1,CA,7091.643782,325,25.9,38093.15264,19,570,15,20983.0933,1992.356688,33470.72687,542.1201015,519.2965473,276,0,0,1000,4.84,345924.4467,0.03,359.6093652,29,2,1.5,23
1,K,66153.39349,2.9,0.26,67109.70043,41,10,92,102817.1572,1411.252654,20444.28182,2942.937694,23813.45595,44,523.6578836,3,1600,0.33,214099.1846,0.01,10128.99712,444,1,34,101
1,K,25085.36681,17.3,0,106131.9544,82,2170,51,62809.39261,83.014862,76289.13421,1394.023118,74.18522104,1220,43.63815697,0,500,1.46,164080.3794,0.02,1678.177038,123,1,4.4,62
1,K,17199.88231,8.2,0,251572.0399,67,1520,35,36230.80776,83.014862,23399.355,4104.623626,0,1010,43.63815697,0,1100,0.14,107517.0577,0.02,1138.76299,85,1,7.7,42
1,K,64036.4849,73.7,0.003,36449.35806,45,10,88,88828.4283,1162.208068,20745.8199,2478.263321,29525.71797,55,567.2960406,0,1000,0.65,243082.0436,0.01,9889.257544,410,3,29.9,97
1,K,29742.56571,250,0.065,14365.33524,84,2280,18,64977.64559,14195.5414,125439.8412,774.4572878,593.4817683,1120,43.63815697,0,1000,10.25,143979.3643,0.32,1498.372355,141,9,7.2,42
1,K,19581.40447,250,0.097,29588.30243,65,2140,11,54136.38071,9131.63482,125439.8412,851.9030166,370.9261052,1000,0,0,200,10.7,156600.9319,0.24,1138.76299,94,7,3.9,65
1,K,21222.00863,250,0.342,35949.07275,75,2150,15,57143.95742,249.044586,126645.9935,929.3487454,222.5556631,1220,43.63815697,0,300,8.94,163145.4485,0.04,1498.372355,99,4,5,67
1,K,10531.62024,250,0.086,3073.18117,67,1260,8,43784.72135,4233.757962,171876.7055,464.6743727,222.5556631,1280,0,0,100,7.89,132760.193,0.18,539.4140478,51,5,1.6,36
1,K,32124.08788,1.9,0,92910.12839,102,2760,33,75888.8541,83.014862,85033.73853,1703.806033,222.5556631,1560,43.63815697,2,100,1.51,155198.5355,0,2157.656191,147,3,5.9,108
1,CA,26302.58925,250,0.068,98270.3281,96,1550,7,83232.93676,3154.564756,39983.94939,2942.937694,13724.26589,743,174.5526279,3,30000,198,168755.0341,0.02,1378.502567,87,4,4.6,38
1,CA,33129.61946,95.4,0.009,96483.59486,84,2660,42,57423.732,4897.876858,46014.71099,2323.371864,12092.19103,1140,43.63815697,0,1100,19.1,186518.7219,0.03,2037.786403,147,2,5,60
1,CA,18575.87289,43.8,0.008,162950.0713,57,1520,31,42385.84847,83.014862,78098.36269,4027.177897,148.3704421,718,0,2,200,0.58,113594.1088,0.02,1198.697884,87,4,5.7,54
1,CA,19105.10004,27.8,0.009,233704.7076,72,1590,34,37210.01879,332.059448,24243.66162,3872.286439,148.3704421,800,0,3,500,0.28,123410.8837,0.02,1258.632778,89,7,5.8,38
0,CA,25773.3621,102.5,0.086,35520.25678,137,3440,98,88128.99186,498.089172,123027.5366,1006.794474,1038.593095,1610,87.27631394,0,37300,55.3,129487.9348,0.1,2757.005133,126,15,6.8,131
0,CA,22545.0765,250,0.165,41666.61912,67,1920,29,55535.2536,9629.723992,116695.2369,1006.794474,1780.445305,965,0,0,5900,15.6,150056.4154,0.26,1378.502567,109,8,5.4,61
0,CA,23180.14908,4.4,0.006,8647.788873,84,2130,20,60081.59048,0,141722.8975,774.4572878,74.18522104,1515,43.63815697,0,600,7.95,173897.1543,0,1438.437461,99,4,4.8,47
1,CA,22227.54021,1.2,0.006,21941.08417,71,1890,8,54066.43707,5728.025478,133882.9075,929.3487454,890.2226525,1230,0,0,300,3.53,159873.1902,0.02,1198.697884,91,6,4.6,50
1,CA,22809.69007,2.3,0.013,25443.08131,73,2060,27,56654.35191,5312.951168,130867.5267,851.9030166,964.4078735,1390,0,0,1400,13.65,156600.9319,0.04,1318.567672,92,5,4.6,56
1,CA,25244.13495,250,0.006,55245.79173,68,1960,17,48890.60739,415.07431,108553.7088,929.3487454,222.5556631,1200,0,0,100,7.05,179039.2744,0.04,1258.632778,97,5,4.3,53
1,CA,24450.29423,133,0.018,142223.9658,61,1850,41,51478.52223,10625.90234,59523.61697,2942.937694,2373.927073,784,43.63815697,0,500,22.8,112659.1779,0.01,1558.307249,116,5,5.3,27
0,CA,28049.03884,89.9,0,39451.0699,87,2580,52,69384.09518,332.059448,111870.6276,851.9030166,0,1290,87.27631394,0,0,0.21,210826.9263,0.01,2037.786403,143,1,5.7,71
0,CA,26355.51197,59.2,0.133,54888.44508,48,1680,91,56164.7464,249.044586,112172.1657,1239.131661,667.6669894,637,1440.05918,0,900,0.68,158470.7938,0.06,1678.177038,114,16,6.6,52
0,CA,65094.93919,37.4,1.69,33090.29957,30,260,21,38818.7226,249.044586,53070.70206,464.6743727,36795.86964,254,872.7631394,3,15900,1.99,238407.3889,0.38,2397.395768,38,27,7.5,37
1,CA,46095.68458,1.1,0.001,66037.66049,79,2510,37,79735.75454,332.059448,60609.15406,1394.023118,222.5556631,600,130.9144709,0,100,0.05,211761.8572,0.01,2816.940028,209,1,9.2,82
1,CA,21645.39035,78,0.027,36520.82739,75,1870,9,56794.2392,83.014862,138104.4406,929.3487454,0,1335,43.63815697,0,1700,2.55,147719.088,0.03,1078.828096,83,5,4.2,63
1,CA,28472.42056,29,0.257,929.1012839,21,2370,30,27557.79587,83.014862,44748.25105,77.44572878,148.3704421,632,130.9144709,0,200,0.36,373972.3748,0.04,1558.307249,92,4,0.7,35
1,CA,74091.80071,10.6,0.006,15794.72183,19,40,39,58542.83031,249.044586,40406.1027,1006.794474,34421.94256,234,480.0197266,0,800,0.26,267390.248,0.02,4614.986854,162,11,12.6,68
1,CA,66153.39349,250,1.56,50100,28,50,154,62319.7871,4648.832272,30153.80799,1006.794474,46885.0597,22,1527.335494,4,44900,2.65,193530.7039,0.05,4674.921748,204,48,18.5,34
1,CA,60596.50843,67.9,0.001,30946.21969,36,10,60,73790.54477,1162.208068,12543.98412,2013.588948,28264.56922,81,610.9341975,0,200,3.17,269727.5753,0.01,9949.192438,303,15,31.5,122
1,CA,64830.32562,71.1,0.001,55531.66904,50,10,117,81484.34565,498.089172,17670.13148,2323.371864,28412.93966,162,523.6578836,0,1700,46.6,235135.1306,0.02,9829.322649,440,3,33.5,142
1,CA,68799.52923,65.2,0.001,34519.68616,59,10,158,60641.13964,3486.624204,21650.43414,1936.14322,34867.05389,170,567.2960406,0,600,87.6,264117.9897,0.02,10848.21585,463,3,30.5,162
1,CA,66682.62064,75.2,0.003,41094.86448,55,10,214,91276.45585,332.059448,20263.35897,1781.251762,24629.49338,70,436.3815697,0,1900,0.77,241679.6472,0.01,11387.6299,656,2,31.8,116
1,CA,67476.46136,106,0.005,44239.51498,61,20,111,72041.95366,1909.341826,20444.28182,1626.360304,32270.57115,164,480.0197266,0,1200,58.5,252898.8184,0.02,9589.583072,494,3,28.3,131
1,CA,70122.5971,9.8,0,26372.1826,49,20,124,102817.1572,332.059448,28163.65666,1626.360304,20030.00968,59,567.2960406,0,100,0.51,243082.0436,0.01,9949.192438,493,1,28.8,137
1,CA,55833.4641,4.5,0,59819.82882,41,10,84,130444.8967,498.089172,27138.42719,2942.937694,6083.188125,33,392.7434127,0,400,0.38,209891.9953,0.01,8510.754977,422,2,32.3,123
1,CA,65094.93919,34.1,0.001,42452.78174,37,10,98,64488.04008,3735.66879,17609.82387,851.9030166,29822.45886,35,523.6578836,7,1900,0.98,258508.4041,0.01,9949.192438,443,3,33.4,86
1,CA,65888.77991,3.1,0,58033.09558,35,10,109,86380.40075,5146.921444,17308.28579,2942.937694,26558.30913,36,567.2960406,2,1300,0.63,228590.6141,0.01,10188.93201,486,1,32.4,101
1,CA,76737.93645,0.7,0.001,23441.94009,53,10,107,179755.1659,996.1783439,43783.3292,2168.480406,6009.002904,37,610.9341975,2,200,0.24,187921.1183,0.01,11807.17416,532,2,38.2,197
1,CA,27625.65712,799,0.004,122569.9001,93,2360,44,61760.23795,83.014862,99507.56636,2633.154779,74.18522104,1430,0,0,400,19.55,102374.9376,0.06,1917.916614,138,3,7.8,67
1,CA,22545.0765,83.7,0,52244.07989,68,1930,55,58542.83031,83.014862,122424.4604,1084.240203,74.18522104,1045,0,0,100,0.35,160340.6557,0.02,1498.372355,109,10,5.2,52
0,CA,39162.80894,45.8,0.007,115065.6205,84,3160,88,92675.32874,0,33470.72687,2788.046236,148.3704421,888,43.63815697,0,600,0.24,187453.6529,0.02,2457.330662,174,3,12.8,52
0,CA,25985.05296,69.8,0.02,102915.8345,60,1930,42,59242.26675,0,89556.80972,1858.697491,74.18522104,1040,43.63815697,0,100,26.1,147251.6226,0.01,1438.437461,106,1,5.3,49
0,CA,25826.28482,20.1,0.001,180102.7104,99,2090,165,50079.64934,0,41129.7941,2091.034677,0,994,43.63815697,10,2700,0.22,154263.6046,0.03,1738.111932,125,1,6.1,73
0,CA,11484.22911,108.5,0.003,47741.51213,77,2460,46,52387.78961,83.014862,131470.6028,1006.794474,0,1350,43.63815697,0,300,23.3,139772.1751,0.01,719.2187304,66,2,3.1,47
0,CA,25200,236,0.011,90600,73.1,1580,20.4,52300,3200,84400,1520,2500,1050,70,0.9,600,4.44,,0,350,94,0.7,4.6,49
0,CA,21700,90.5,0.007,110000,62.8,1380,19.6,51300,2100,81000,1710,1800,982,70,1,600,5.45,,0,270,85,0.6,4.7,63
0,CA,34500,187.5,1.94,108000,76.5,1690,47.7,53400,12800,51200,2140,4500,716,60,0.5,6400,11.35,,0,740,133,2.2,5.6,39
0,CA,28800,7.6,0.01,53000,89.5,1500,30.2,65700,100,118500,943,0,1510,70,0.5,100,0.75,,0,250,110,0.1,3.6,71
0,CA,18900,605,0.029,108000,56.1,1240,25.6,37900,1900,60400,1760,3200,889,70,1.2,500,16,,0.12,290,69,0.7,7.4,53
0,CA,28200,46.5,0.006,76100,92.9,1920,70.4,82000,1500,96400,2350,100,1705,100,3,18200,12.15,,0.06,1710,131,0.2,3.4,99
0,CA,75600,9.8,0.004,2200,28.2,20,44.9,74600,700,35600,329,30700,101.5,810,2.7,1000,0.64,,0,5220,224,3.6,13.1,110
0,CA,69600,55.3,0.001,39100,49.3,11,92,141500,10600,39000,2400,200,37.6,570,0.9,800,1.61,,0,5330,457,2.3,9.5,165
0,CA,24400,114,0.004,104500,76.4,1380,51.4,55500,100,95000,2050,100,1135,350,2,1000,44.8,,0,1090,99,0.3,4.4,64
1,CA,67300,344,0.016,41000,43.5,16,92.8,88500,7300,22100,1820,23900,84.4,590,1.2,4000,3.79,,0,7440,428,6.4,11.6,188
1,CA,81300,19.9,0.003,8100,17.1,178,30.5,43800,14300,18600,425,31300,96.2,730,10.7,500,1.24,,0,2720,112,2.8,9.2,101
1,CA,91600,11.4,0.006,6200,25.7,195,35.3,47400,38200,19600,389,7000,118.5,670,8.7,300,1.94,,0.05,3000,157,2.4,12.4,108
1,CA,68700,146,0.001,31600,79.3,1580,63.2,136500,1300,33000,3750,11600,686,250,2.6,400,0.91,,0,1480,138,1.7,8,147
1,CA,37200,2,0,105500,102,2050,38.8,64800,3000,78900,1960,16100,1385,100,3.8,200,0.78,,0,2060,151,0.1,7.3,88
1,CA,66100,3.4,0.001,38300,51.3,694,58.3,60800,2600,32100,1240,27400,511,310,1.3,1500,0.76,,0,2330,202,0.5,7.4,113
1,CA,42400,256,0.009,104500,88,1940,60.7,72000,15300,62000,2420,1600,1140,90,54.1,1000,4.59,,0,980,197,1.5,8.9,252
1,CA,22000,15.1,0.004,112000,68.4,1240,31.9,54200,300,97900,1780,500,1020,80,2.1,0,2.24,,0,290,92,0.2,4.3,64
1,CA,28500,1050,0.039,117000,82.3,1780,46.5,57700,5500,87900,1700,3000,1285,40,1.3,1200,11.7,,0.08,390,119,0.8,5.2,57
1,CA,67200,73.5,0.005,59600,40.5,20,77.2,91700,12000,20300,2130,16300,43,630,1.7,1300,1.07,,0,9090,427,10.3,15.6,71
1,CA,47300,384,0.004,60500,100.5,2490,80.6,81100,8100,44700,2700,6600,940,150,0,200,13.4,,0.05,1200,197,1.9,3.5,89
1,CA,45400,138.5,0.017,64700,83.1,2940,60.5,129000,4600,44800,5030,100,804,130,0.9,100,11.65,,0,1100,188,1.6,3.1,100
1,CA,69400,53.8,0.005,33100,27.8,16,12.3,99100,4400,14500,2080,29200,21.7,780,0.7,600,1.74,,0,6900,253,2.2,13.5,188
1,CA,30600,1075,0.02,107500,77.9,1540,12.5,57700,100,96400,2110,200,1175,10,2.4,200,25.1,,0,300,125,0.5,5.7,94
1,CA,29300,1430,0.018,137500,62.2,1400,29.1,62900,12700,47300,3290,2500,836,150,1,100,25.1,,0.05,680,131,1.6,6.4,63
1,CA,62800,68.4,0.002,49700,43.8,13,81,120500,1100,25700,2600,16500,41.2,520,1.2,1000,1.38,,0,8540,416,1.2,10.7,142
1,CA,64700,53.7,0.009,35300,42.1,8,81.2,116000,700,26700,1860,17000,44.3,580,2.6,700,1.63,,0,8920,424,1.9,10.9,147
1,CA,67000,139,0.004,37800,42.1,10,62.1,70200,10100,22600,1600,24800,35.3,590,2.7,2100,3.52,,0,9570,425,8.6,10.9,107
1,CA,67300,48.8,0.012,11200,24.6,9,311,71200,300,46500,385,23900,43.4,620,1.6,700,1.2,,0,5920,501,6.4,7.6,111
1,CA,66900,85.9,0.005,46400,40.1,9,95.1,99900,3000,26200,1870,21300,38.3,570,1.8,2500,1.39,,0,7180,447,7.6,10.2,131
0,CA,17600,61.6,0.002,193500,64.1,1200,29.9,39600,4100,39000,2310,700,883,50,1.5,700,0.89,,0,470,75,0.4,4.8,41
0,CA,30400,99.6,0.01,115500,48,788,52.1,53500,10500,63100,2630,3000,586,200,5.7,1300,4.99,,0,810,138,1.3,7,54
0,CA,35400,203,0.009,104000,62.3,1160,58.4,68500,3300,80800,2350,1700,905,360,3.5,400,3.4,,0.05,760,169,0.8,7.4,88
1,CA,33300,290,0.011,86700,55.6,1100,83.3,67200,100,85900,1840,100,813,2650,4.8,500,11,,0,750,153,0.8,14.2,98
1,CA,32300,326,0.063,114000,67,1270,33.9,59700,9600,55700,2240,5100,944,120,2.5,1800,22.9,,0,630,140,1.1,6.1,56
1,CA,40700,581,0.032,125000,48.2,787,68.4,67500,1300,65500,2510,3500,656,3770,1.1,200,8.81,,0,900,127,1.9,8.6,53
1,CA,37800,54.2,0.002,69100,95.5,2510,66.8,89200,1400,47900,3670,6200,1005,180,0.5,100,0.54,,0,670,155,0.8,4,83
1,CA,71400,22,0.003,43300,37.7,21,87.4,68700,2600,21600,1560,32000,48.2,680,2.2,1700,1.19,,0,9990,458,4.5,9.2,105
1,CA,70200,17,0,29900,41.4,11,80.3,71800,300,20900,1120,34100,70.6,640,1.1,6900,0.6,,0,7990,453,1.4,8.6,105
1,CA,47300,47.8,0.001,83200,66.4,1070,63.3,71600,900,45900,2420,19000,773,330,1.4,2200,0.72,,0,3120,216,0.5,8,115
1,CA,29700,256,0.011,124000,61.5,1670,57.4,69300,10600,60700,2090,3200,897,110,0.9,1600,11.85,,0,920,146,0.7,6.2,54
1,CA,39900,247,0.011,98800,32.1,426,41.3,57300,700,47400,2280,26800,324,230,1.1,1300,12.8,,0,3340,163,3.1,6.5,49
1,CA,72200,65.5,0.003,44900,41.2,13,78.4,115500,7300,27400,3180,19300,42.8,660,1.5,1100,2.49,,0,8610,473,5.6,9.2,146
1,CA,32100,482,0.006,117500,93.1,1780,49.5,73800,100,81800,2380,200,1270,30,9.2,900,4.38,,0.06,980,150,2.5,5.5,98
1,CA,12900,87.7,0.003,39300,28.7,779,5.8,32900,200,35600,846,700,398,10,1.2,0,2.29,,0,150,53,0.2,2.6,36
1,CA,30600,5.1,0.006,91400,97,2060,45.4,75700,700,41600,6160,3700,1280,110,0.9,600,0.55,,0.05,1110,131,0.2,4.5,70
1,CA,77200,24.7,0,25200,38.6,13,14.9,99400,1500,23300,2060,28000,26.4,850,1,2100,1.83,,0,8250,317,1.5,15.1,178
1,CA,79700,88,0.081,1800,51.2,45,167.5,124500,16200,23800,728,15400,151.5,580,29,47900,23.3,,0.47,2380,377,0.6,8.2,491
1,CA,29600,500,0.012,28100,74.6,1470,35.9,66100,2200,125500,1200,3900,1225,50,1.8,200,29.6,,0.09,910,118,3.1,2.9,81
1,CA,10400,1160,0.034,40700,68.2,715,15.6,40900,4500,147500,644,200,1420,10,1.8,100,19.35,,0.26,280,46,3.5,2.3,48
1,CA,5000,749,0.139,4600,36.4,485,8.7,30700,2000,94300,407,200,738,0,1.8,0,11.6,,0.15,100,24,1.2,0.8,25
0,CA,29000,8.2,0.025,24900,87.9,1610,19.2,64700,0,138500,928,0,1425,40,1.6,1900,2.32,,0,520,117,0.9,1.2,66
0,CA,10100,703,0.038,23400,51.6,522,10.2,41600,300,152000,924,2400,1040,10,2.1,0,11.55,,0.16,180,48,1.7,1.7,43
0,CA,23900,93,0.023,97900,68.5,1200,42.4,53900,0,85000,1330,0,933,50,0,300,3.57,,0,830,101,0.6,4.2,34
0,CA,25900,626,0.038,122000,79,1700,43.3,55800,5900,59100,2130,9000,1115,80,0.6,1000,80.6,,0.05,410,110,1.1,5.2,36
0,CA,28100,31.1,0.003,67200,91.2,1420,36.3,66500,100,118000,1360,200,1495,70,4.6,100,2.15,,0,1090,114,0.5,4.7,78
0,CA,27800,140,0.004,111000,80.9,1590,43.9,54600,3500,55200,2400,13100,1035,80,0.7,900,8.25,,0,700,120,1.1,4.4,54
0,CA,20300,17.8,0.016,72300,44.6,1090,34.3,45100,200,44300,2430,6300,527,140,1.9,1200,0.36,,0,340,72,0.5,4.3,44
0,CA,24900,10.8,0.003,135000,50.6,1210,16.7,51400,200,88600,3920,7100,666,80,2.2,200,13.85,,0,860,108,2.3,5.4,48
