Fertility,Magma_Series,Al,As,Au,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sb,Si,Te,Ti,V,W,Y,Zn
0,CA,19600,73.7,0.006,126000,51.2,919,39.1,53600,100,81600,2190,100,732,70,0.8,0,1.28,,0,1110,79,1.6,4.3,55
0,CA,27800,812,0.05,108000,69.3,1440,35.1,64400,7300,52800,2190,5800,803,160,1.5,2000,33.5,,0.06,500,160,1.3,4.9,48
1,CA,58800,9.8,0.001,54000,35.4,15,80.4,103000,400,23800,2750,21800,33.4,530,1.4,600,1.02,,0,7300,362,2,10.5,128
1,CA,19600,110.5,0.045,116500,55.3,962,33.6,58300,100,86200,2220,200,773,140,1.3,100,0.94,,0,200,82,0.2,5.3,52
1,CA,41300,46.4,0.003,48700,92.9,1610,67.8,80700,300,104000,1410,3200,883,140,2.6,100,0.44,,0,330,177,0.2,3.8,139
1,CA,43300,7.6,0.003,103000,105,2470,66.2,63900,7400,28300,3130,25500,738,120,1.1,600,0.37,,0,2810,189,0.2,12.2,95
1,CA,68200,28.1,0.001,82600,24.1,133,17.8,31300,7700,14700,1090,37100,97,1490,2.8,0,0.64,,0,3780,104,22.2,32.7,42
1,CA,10900,463,0.14,37800,29.5,760,44.6,31000,3800,47400,681,800,382,20,8.3,700,9.71,,0.08,270,46,2.2,1.5,73
1,CA,38100,145.5,0.046,39800,89.4,1830,25.4,82500,2100,117000,1480,4600,952,40,3.6,900,7.84,,0,850,146,3.7,2,158
1,CA,25800,395,0.365,30200,76.6,1460,22.1,66700,6000,113000,972,1100,950,110,4.4,9500,2.35,,0.28,960,111,3.7,2.6,107
1,CA,28000,10,0.045,30600,86.9,1570,47.1,67000,7500,123000,1120,1000,1320,50,1.1,5700,2.91,,0.07,1050,112,4,2.3,77
1,CA,25000,513,0.02,38400,57.7,1220,8.2,55200,8800,121000,958,1500,798,20,0.8,800,5.74,,0.05,1020,94,7.2,2.2,50
1,CA,26900,23.5,0.047,34800,86.6,1850,35.9,64000,300,114000,1140,1600,1530,60,1.1,2900,18.85,,0,1090,106,4.1,2.3,64
1,CA,23000,1080,0.281,31200,66.8,1380,16.8,54300,10400,114500,905,1200,978,10,0.9,4400,11.95,,0.3,1000,91,4.9,2,38
1,CA,17300,51.8,0.219,150500,55.5,777,40.4,40000,100,84500,4030,200,635,60,16,300,1.76,,0,1020,71,2.3,7.7,90
1,CA,19700,506,0.107,36400,52.9,1020,20.7,49600,7300,104000,907,900,874,10,1.2,2300,11.4,,0.09,790,79,6.3,1.8,31
1,CA,27400,489,0.117,38200,66.8,1300,38.5,58100,9800,100000,1080,1600,1040,30,2.2,2400,22.5,,0,1240,112,6.9,2.4,43
1,CA,25500,32,0.012,69900,60.9,1080,18,62100,100,97700,1230,100,911,40,2.2,0,1.79,,0,410,95,1.5,2.8,51
1,CA,28300,630,0.028,57000,68.6,1140,26.3,60500,11400,121000,1140,1200,1015,30,1.9,2800,13.35,,0.05,1210,100,6.7,2.5,40
1,CA,74400,22.4,0.012,30200,24.7,113,37.4,47100,9400,30300,758,28300,143.5,530,3.9,0,0.34,,0,3860,127,0.3,15.7,109
1,CA,56700,51.9,0.014,58000,45.5,8,66.4,77900,500,20200,2380,20200,118.5,600,8.9,3200,41.5,,0,8240,348,1.9,10.8,227
1,CA,66000,42.8,0.004,30800,46.7,8,69.5,131500,300,27100,2640,12900,51.4,600,0.7,200,1.82,,0,7400,431,1.7,9.4,149
1,CA,65100,178.5,0.005,48200,42.1,10,80.4,86900,3500,16600,2760,29000,139.5,600,1.3,1400,1.99,,0,7410,407,3.6,10.2,95
1,CA,22600,118,0.04,104000,55.2,1250,59.3,45800,0,93100,1640,200,946,0,1.1,200,9.2,,0,730,96,2,3.9,50
1,CA,20800,26.1,0.003,33900,74.3,1300,6.8,52700,0,118500,923,100,1335,20,0,0,11.65,,0,740,90,1.4,1.2,43
1,CA,22700,60.4,0.017,40900,70,1400,33,52300,0,122500,909,100,1130,40,2.8,300,2.27,,0,810,89,1.5,1.7,47
1,CA,28700,309,0.289,32100,71.5,1590,28.7,62300,10500,113000,917,2000,945,50,2.7,3900,3.92,,0.09,990,117,3.9,2.6,65
0,CA,27600,175,0.739,24800,86,1560,248,63600,4700,116500,981,2100,1200,30,1.8,5600,171.5,,0.05,900,105,3,2,132
0,CA,25000,347,0.014,25000,55.1,1160,29.1,47800,8500,103500,834,2400,956,200,2,600,4.13,,0,950,91,3.3,3.4,60
0,CA,30100,328,0.019,18900,65.5,1890,50,64700,11200,113000,997,1300,834,40,1.7,700,11.6,,0,1190,114,3.1,2.4,64
0,CA,16400,79.8,0.033,35300,53.4,880,8.5,42900,800,127500,896,1000,1270,100,3.6,400,3.4,,0,470,62,4.6,2,61
0,CA,25400,424,0.03,28600,63.9,1330,27.9,57500,4300,118000,1050,2600,984,50,1.2,900,10.35,,0,950,100,3.4,2.1,50
0,CA,30200,192,0.051,19300,78.6,1780,15.8,66600,200,117000,1000,6800,1310,70,1.3,1700,5.83,,0,750,119,2.5,2.2,79
0,CA,27400,4.6,0.002,30400,66.6,1500,16,60900,0,121000,960,3100,1045,90,1.5,500,2.55,,0,1100,122,1.5,2.1,62
0,CA,26100,29,0.341,48300,74,1560,67.1,56200,3000,114000,959,4300,1035,30,2.7,4200,8.08,,0.09,1120,110,9.5,2.5,60
0,CA,71100,42.1,0.007,14200,55.6,81,92.7,91400,7700,53600,669,4800,94.8,250,0.9,1200,5.41,,0,4870,313,4.3,6.9,162
0,CA,67200,10.5,0.007,32900,39.6,18,91.1,120500,600,28500,2090,18000,39.8,530,2.4,500,0.72,,0,9830,448,1.7,9.9,161
0,CA,64800,9.6,0.019,36300,42.9,10,88.7,120000,2500,27200,2660,17200,43.5,550,4.8,800,1.83,,0,9900,436,1,13.6,166
0,CA,61700,6.4,0.007,59600,32.6,7,87.9,119500,2200,19200,4180,17000,33.2,580,2.5,1100,1.02,,0,9290,407,1,12.1,116
0,CA,65200,52.8,0.005,41900,42.8,8,90.5,122000,3500,26600,2380,11900,41.5,540,2.5,500,1.92,,0,8800,426,5.2,13.3,134
1,CA,65700,17.7,0.011,35300,35.2,8,86.5,92600,4600,21500,2420,22600,46.9,620,7.6,800,1.85,,0,10150,447,1.6,11.3,134
1,CA,44600,29,0.033,71400,33.9,5,66.5,145500,300,28700,5520,200,27.1,350,2.1,4700,1.51,,0,6010,305,0.9,7.3,144
1,CA,68500,4.8,0.002,18500,37.6,6,51,94100,1000,18700,923,35400,30,600,2,300,0.87,,0,10450,458,1.6,11,128
1,CA,25700,664,0.106,30600,63.1,1500,36.2,57300,8400,112000,981,1400,874,20,1.4,0,15.6,,0.1,1020,100,5.2,2.4,56
1,CA,20700,740,1.39,20600,64.6,1400,15.7,52200,9300,114500,868,500,1060,40,2.4,100,11.2,,0.33,580,107,3.2,2.7,67
1,CA,14100,470,1.465,10500,52,980,18,43800,6300,113500,783,300,906,30,2.8,0,4.35,,0.36,310,75,2.4,1.8,68
1,CA,10300,733,0.596,5900,53.1,925,7.8,42600,4600,137500,673,200,977,30,1.8,0,8.92,,0.36,200,48,2.2,1.6,52
1,CA,21600,172,0.015,29900,65.6,1330,17.9,54400,100,114000,829,100,1085,60,2.1,200,5.91,,0.06,530,86,1.5,1.6,63
1,CA,20600,476,0.038,68300,52.1,1220,8.5,53900,100,114000,1370,300,771,20,2.5,100,7.55,,0,610,83,3,3.5,73
1,CA,65400,107.5,0.055,32800,39.4,21,98.9,86800,7600,23000,1520,16900,57.5,590,8.6,800,2.43,,0,8320,436,2,10.8,153
1,CA,61500,40,0.003,52200,44.1,8,94.4,96500,1900,24000,3470,21600,69.8,530,8.7,700,2.74,,0,8560,393,5.6,15.1,101
1,CA,69100,9.2,0.009,35200,46.2,11,100.5,116500,4500,21900,2440,22200,67.9,630,2.4,1200,1.05,,0,10450,472,2.5,10.4,150
1,CA,66700,129.5,0.016,29600,49.7,9,83.1,94300,300,21700,1450,27100,336,570,1.8,2400,3.72,,0,7910,439,4.1,10.9,146
1,CA,38500,503,0.593,29100,76.1,1670,45.7,67300,1900,103500,1110,9000,1020,110,3,1700,4.67,,0.19,1230,136,15.7,4.2,72
0,CA,27900,205,0.22,35400,64.1,1380,30.5,62600,0,114500,1080,600,977,30,1.6,2500,2.26,,0.11,1160,115,10.4,2.1,56
0,CA,18800,482,0,38100,48.2,1150,16.9,50000,3900,110500,970,1900,826,30,1.9,100,5.91,,0.19,810,77,6.8,2,49
0,CA,34300,323,0.226,25400,75.3,1630,70.8,70900,4500,87800,1220,10100,957,140,1.6,4600,6.55,,0.07,1060,122,4.5,2.6,68
0,CA,57600,68.1,0.83,11200,21,321,31,30600,500,13900,430,43700,205,600,3.8,9100,3.85,,0.24,1220,42,13.4,5.8,18
1,CA,21000,664,0.044,30700,54.4,1400,20.3,54200,7700,107500,949,1000,839,10,1.9,300,7.68,,0.13,900,91,10.5,2.3,55
1,CA,29500,10.2,0.015,33000,78.2,1650,23.1,61600,100,110000,1140,100,1395,70,1.2,100,2.96,,0,880,113,1.5,2.6,178
1,CA,25000,273,0.076,57600,79.6,1340,36.7,58200,100,114500,1060,100,1090,70,1.6,3700,2.28,,0.15,980,101,5.2,2.4,47
1,CA,15500,623,0.015,20100,45.8,917,8.4,39900,4100,79500,705,1600,759,30,1.2,400,4.21,,0.14,580,60,7,1.6,47
1,CA,68700,17.3,0.004,32000,42.5,72,115,79400,2100,26900,1340,32700,70.2,300,1.2,300,2.59,,0,3960,267,0.7,4.3,129
1,CA,44800,34.3,0.036,24600,58.5,739,68.9,103000,100,95300,1700,1100,647,300,1.9,11100,10.55,,0,1290,134,3.1,4.6,115
0,CA,30400,390,0.119,48100,52.9,1040,23.5,60100,500,101500,1180,6800,701,60,3,900,3.18,,0,1300,110,12.2,2.1,46
0,CA,33800,530,0.359,35000,68.9,1280,44.3,62500,300,98700,1070,5800,865,70,1.4,900,3.19,,0,1570,128,10.3,2.5,58
0,CA,22000,341,12.7,35600,52.5,1190,60.4,49800,3100,79500,912,3900,707,70,3.2,2300,16.1,,0.08,790,91,4,1.6,50
0,CA,71600,23.4,0.378,6200,7.6,42,13.5,20500,300,9700,546,56100,71.2,290,0.7,500,2.28,,0,1060,32,4.1,4.7,22
0,CA,59700,85.1,0.125,24200,82.8,610,50.5,86600,100,95900,1280,700,586,550,4.6,9300,9.87,,0.07,5180,224,13.5,6.8,149
0,CA,23500,60.4,0.007,58200,60.1,1120,23.3,58100,0,108500,1400,100,955,70,0.8,200,1.58,,0,650,100,2,2.3,56
0,CA,35800,213,0.304,31300,43.7,1600,464,56200,100,73600,1580,400,1030,220,1.3,2400,3.58,,0.06,1380,138,9,4.1,91
0,CA,29500,167.5,0.133,77600,70.1,1580,224,47900,100,99200,1360,200,1330,50,1.9,3800,2.13,,0.13,820,111,5.4,4.4,53
0,CA,24800,52.8,0.251,52500,13.1,851,469,39100,1300,64700,1180,100,591,90,0.8,3000,2.05,,0.05,810,76,9.7,4,30
0,CA,61300,26.3,0.075,1400,24.9,2320,36,58100,100,89800,186,200,1210,210,0,500,1.2,,0.05,2220,226,5,1.6,85
0,CA,50300,53.9,0.132,6300,45.6,2550,111.5,54400,0,83800,664,100,1410,80,1.3,2200,1.81,,0.1,1480,178,8.1,2.6,77
0,CA,25100,538,0.111,33900,73.7,1580,12.8,65600,100,125000,1160,3400,1060,30,7.3,1600,3.12,,0.06,1070,110,7.4,1.8,69
0,CA,26600,649,0.136,42600,66,1540,20.7,57000,100,109500,976,6800,956,20,8.4,1600,3.52,,0.05,660,104,3.5,1.9,52
0,CA,26500,626,0.061,43400,57.7,1060,23.9,54400,600,111000,1110,9800,909,180,1.3,800,5.45,,0.08,900,84,57.2,2.9,50
1,CA,19900,88.2,0.256,43100,58,1260,64,47700,100,79400,923,200,966,10,1.9,1300,2.03,,0.06,540,90,2.2,1.5,64
1,CA,33400,61.7,0.074,56200,78.2,1420,47.7,62300,100,110000,1140,400,1080,100,2.7,1900,3.54,,0,1300,124,6.1,2.9,101
1,CA,30300,642,0.015,77800,96.1,1700,46.1,64400,0,90600,1520,100,1230,140,1.6,300,8.19,,0,650,128,1.5,3.6,98
1,CA,29600,1055,0.518,126500,67.9,1790,58.6,58000,8200,60900,2890,9400,719,100,1.1,5900,22.9,,0.09,660,114,2.8,5,40
1,CA,46800,133,0.093,65500,70.1,976,30.8,69900,100,103500,1380,900,821,770,2.6,1300,3.63,,0.06,2120,163,7.1,7.5,103
1,CA,34700,791,0.037,40600,72.7,1480,66.8,66700,900,89800,1240,14200,882,430,2.5,600,8.1,,0,1630,127,13.8,4,79
1,CA,34400,85.3,0.101,49200,80.4,1380,68.7,63500,0,108500,1170,400,1090,150,2.5,1200,2.22,,0,1200,135,3.7,3,85
1,CA,27700,554,0.14,62800,82.2,1820,38.7,63800,0,110000,1360,100,1230,40,4.4,1400,24.7,,0,930,118,2.5,2.6,78
0,CA,16800,453,0.037,154000,54.1,1200,13,48900,3000,84500,3240,6300,618,130,16.5,500,17.65,,0,700,69,3,5.3,47
1,CA,27700,801,0.02,92400,63.8,1240,35.4,51300,9000,64800,1580,3000,856,740,1.8,0,53.7,,0,1400,120,4.7,5.9,46
1,CA,23200,857,0.018,87000,68.6,1500,26.9,57200,1600,92100,1400,2000,1040,40,1.1,200,30.8,,0.05,960,98,4.2,3.8,50
1,CA,24900,870,0.048,22600,74.5,1540,24,58100,6600,110000,914,1200,1160,40,1.4,0,28.2,,0.08,660,101,2.6,2.2,56
1,CA,29000,236,0.013,33200,62.9,1140,37.6,56000,700,118000,952,5800,1045,60,1.8,300,25.9,,0,960,102,2.5,1.6,69
1,CA,21300,666,10.15,21500,51.8,1020,14.9,47900,5400,90500,828,1800,671,40,2.4,300,14.25,,0.13,580,80,2.2,1.8,71
1,CA,29500,566,0.199,42700,85.5,1630,58.2,68000,1900,107000,1230,1500,1270,50,1.7,4000,46.4,,0,1140,120,9.6,2.8,136
1,CA,29800,101.5,0.717,43300,75.9,1660,79.9,62600,2900,110500,1060,2700,961,50,1.8,6000,60.5,,0,960,112,3.9,2.6,127
1,CA,27300,758,0.097,35000,68.5,1300,25,62500,8100,124000,1050,1400,995,30,2.1,2600,16.35,,0,970,103,4.4,2.6,78
1,CA,35800,18.7,0.073,19500,92,1800,65.5,76000,100,90900,1340,2500,1285,100,1.6,1200,1.57,,0.05,590,130,2.2,2.5,73
1,CA,29500,41.3,0.515,21100,73.2,1430,36.7,58500,100,93800,852,6500,794,70,3,7400,4.13,,0.08,840,108,4.4,1.5,68
1,CA,34400,345,0.287,36100,42.8,687,30.9,47600,8300,63100,858,12300,377,510,2.2,3300,18.9,,0.05,2240,125,13.3,4.5,44
1,CA,27500,328,0.175,23000,56.7,1220,20.5,49900,5100,94400,837,5400,831,70,1.5,2600,13.5,,0.06,830,97,5.8,2.5,47
1,CA,21100,654,0.354,21200,58.3,1290,21.3,49700,7200,95200,810,2300,767,20,0.8,2500,10.25,,0,570,81,2.3,1.8,43
1,CA,44000,78.7,0.451,27400,26.1,361,80.8,41300,5500,34000,695,25700,135,1110,3.4,8400,36.9,,0.05,2520,104,20.6,8.3,41
1,CA,43400,18.7,0.006,27900,94.6,2560,46.1,55800,100,99200,1250,100,1740,50,0.6,200,2.27,,0,360,176,0.5,3.8,131
1,CA,41600,201,0.439,27100,37.9,518,97.4,41900,5100,47500,774,22500,476,1010,4.5,6900,22.2,,0.06,1540,81,13,6.5,46
1,CA,25300,148,0.02,113000,59.4,1410,94.7,55700,5600,62300,2570,2300,1000,80,1.1,400,2.21,,0,420,98,0.9,4.9,70
1,CA,25700,160.5,0.034,98000,67.1,1390,31.7,51400,4700,68000,1940,500,1090,200,1.1,500,6.15,,0.08,420,99,0.8,4.5,61
0,CA,39600,104.5,0.008,97200,103.5,2340,44.9,69400,700,56000,3230,5600,1630,140,1.4,600,1.73,,0,620,157,1,4.6,122
0,CA,33700,459,0.014,60500,97.1,1980,54,71100,4200,70700,1800,3700,1235,160,1.5,100,51.8,,0.05,1160,138,4.5,4.1,75
1,CA,69200,72.7,0.003,29900,42,22,56.1,79000,9300,20900,1530,27400,129,620,2.5,1800,2.21,,0,8460,438,20.1,10.6,150
0,CA,64600,43.2,0.001,37700,45.9,14,93.9,76000,11000,21300,1520,20900,73.1,660,2.1,2000,3.31,,0,8950,406,15.1,11.7,100
0,CA,35900,536,0.022,28500,72.5,1350,48.9,67200,5500,106000,1090,4400,884,90,0.6,900,6.05,,0,1120,122,4.9,2.7,70
0,CA,14500,471,572,19900,35.2,827,13.7,35300,5700,59300,574,500,380,20,1.2,100,7.14,,0.17,430,65,2.4,1.7,54
0,CA,61200,97.3,0.007,41000,43.5,19,103,81900,5700,16400,2680,27300,81.5,550,1.9,2800,2.76,,0,7350,363,8.1,8.7,182
1,CA,83300,163,0.072,1000,7.8,42,198,30800,21000,3100,90,36800,23.2,730,22.1,900,15.1,,0.3,3260,92,4.9,15.1,75
1,CA,43500,1020,0.325,90400,30,15,41.8,77300,11600,25700,3190,13300,81.4,560,2.3,4500,2.91,,0.07,4540,281,15.5,9,250
1,CA,57900,452,0.146,1000,45.7,45,16750,144000,200,53500,275,100,236,660,17.6,17500,8.76,,0.13,5870,320,27.6,11.2,155
1,CA,25600,1210,0.106,84300,64.2,1640,46,75100,5900,45500,3200,5900,834,50,0.9,3800,14.85,,0.09,360,101,1.4,4.8,42
0,CA,27000,1915,0.258,103000,62.5,1760,70.5,63900,7700,30800,3160,4800,731,80,0.7,3600,13.65,,0.06,380,105,1.2,4.5,39
0,CA,38200,733,0.004,60200,96.8,1980,79.3,65800,1100,62900,1530,5400,1250,50,0.5,400,46.2,,0,700,162,1.1,3.3,74
0,CA,14500,1325,0.176,160000,50,1360,25,36300,5200,52300,2540,500,713,50,0.7,1400,11.65,,0,190,62,1,3.8,30
0,CA,23400,812,0.024,80900,57.4,1370,26.4,53700,2900,79300,1300,600,799,40,0.7,100,9.72,,0.07,150,92,0.5,3.4,59
0,CA,38400,1930,0.243,80600,82.5,1840,75.3,87900,6800,38800,3360,8700,842,160,1.2,4400,17.35,,0.06,1660,179,5.1,4.4,69
0,CA,38500,1250,0.01,54100,136.5,2660,73.9,83500,8500,37500,2680,900,1730,90,0.9,400,272,,0.07,520,164,1.3,4.3,84
0,CA,18300,983,0.045,103000,72.3,1560,52,50700,1400,84600,1340,600,1180,60,0.7,1800,28.2,,0,400,81,1.5,3.3,42
1,CA,51600,63.6,0.008,60700,41.4,15,129,107500,3200,21100,3630,10800,75.9,510,2.1,1800,1.7,,0.05,6050,309,4.1,8.3,215
1,CA,61100,99.7,0.004,51400,40.9,16,113,76800,20200,17900,1720,7600,64.2,490,1.4,1100,2.51,,0,7980,446,22.6,7.4,105
1,CA,14800,1165,0.021,51000,68.3,1640,18.8,51100,900,91300,882,200,1090,40,2.3,0,23.6,,0.09,230,62,1.3,2,80
1,CA,18300,797,0.01,106500,67.7,2150,32.6,47400,4400,68500,1520,3000,1020,80,0.9,200,23.6,,0.05,300,77,1.4,3.3,52
1,CA,16100,1035,0.087,84100,67.3,1560,19.9,46300,3500,95200,1260,1100,1030,20,1.1,100,13.3,,0.11,290,68,1.9,2.8,49
1,CA,14100,1035,0.01,46500,73.4,1320,12.8,58500,400,133500,1120,600,1200,20,1.8,0,18.45,,0.09,290,58,1.8,2.4,62
1,CA,24700,696,0.018,73500,62.3,1380,28.3,66000,2700,52100,2450,3900,907,140,0.6,300,5.49,,0.07,330,91,1.2,3.7,51
1,CA,15000,273,0.019,97600,62,997,15.1,43800,3100,81200,1360,600,962,80,0.6,100,14.15,,0,420,60,0.5,3.3,48
1,CA,27700,230,0.001,116500,69.8,1340,39.1,45900,2400,57400,1800,7500,920,90,0.6,100,8.93,,0.05,1020,103,0.5,4.4,51
1,CA,36400,159,0.003,71700,70.6,1230,52.5,60600,2900,83400,1160,4500,1110,130,1.8,200,9.14,,0,1250,114,0.3,5.6,78
1,CA,31900,156,0.024,81200,67.4,1730,197,75600,1000,69200,2100,300,1030,110,0.9,200,2.55,,0,520,132,1.1,4,81
1,CA,27100,18.3,0.001,74700,78,1460,48.6,65100,0,85400,1620,100,1120,100,0.6,200,1.28,,0,390,111,0.2,4.5,65
1,CA,25200,81.6,0.003,156000,67,1480,64.8,60400,6000,41800,2630,1800,818,90,0.5,400,1.15,,0,490,104,0.8,6,40
1,CA,21700,453,0.061,76100,51.3,1000,26.1,50900,2200,90600,1420,3500,721,30,1.4,300,8.17,,0,440,84,1.5,3,73
1,CA,25500,121,0.003,67700,81.1,1440,55.4,62700,0,97200,1670,100,1260,100,0.5,2000,5.15,,0,780,107,0.6,2.9,57
1,CA,38600,35.3,0.009,37100,57.9,674,36.4,64500,6200,74300,1320,10900,652,320,0.8,600,4.99,,0,3900,192,5.4,4.7,66
1,CA,29500,262,0.008,67500,81.8,1800,56,67700,600,90200,1400,3500,1190,70,1.1,200,26.7,,0,740,123,0.9,2.9,83
1,CA,61800,79.2,0.005,27400,41.7,22,94.9,74600,2600,16900,2270,30500,135,550,1.9,2100,2.57,,0.07,6770,369,5.3,6.7,453
1,CA,84900,90.9,0.061,23500,75.4,17,2000,105500,300,45700,950,30900,477,510,1.9,1500,0.85,,0.06,10750,640,65,12.9,158
1,CA,45100,29.4,0.056,68900,40,2270,88.6,106000,400,40700,2000,900,711,140,1,800,0.42,,0,1740,189,1.9,4,90
0,CA,33100,866,0.106,71800,103,1450,202,61900,4500,40500,2170,13900,726,180,1,1000,22.4,,0.05,460,135,1.5,3.8,55
0,CA,15500,1020,0.03,58300,61.1,1340,19.3,51700,1300,99900,986,800,934,30,1.3,0,14.55,,0.05,230,70,1.5,2.7,61
1,CA,22800,137.5,0.004,97200,64.4,1280,36.1,51000,600,82900,1280,300,1060,70,0.6,200,5.59,,0,480,87,0.4,3.7,52
1,CA,15600,138,0.05,107500,74,1800,105,46900,100,82300,1490,100,1420,60,0.7,500,4.79,,0.05,320,68,0.8,2.7,49
1,CA,8600,17.7,0.1,8100,21,1280,8310,24700,500,14300,479,100,368,60,2.2,6700,8.56,,0.14,220,34,0.6,1.7,33
1,CA,14100,134.5,0.005,49900,94.3,2000,31.4,56300,0,102500,1230,0,1680,50,0.8,1400,4.29,,0,300,61,0.6,2.1,51
0,CA,19100,80.8,0.02,108000,61.6,1180,26.2,51400,1300,76700,1480,200,963,90,0.8,100,16.65,,0,300,75,0.5,3.9,61
1,CA,28300,52.2,0.031,101500,63.5,1840,18.8,54200,10200,66700,1900,700,942,80,0.5,200,2.97,,0,490,115,0.6,4.1,43
1,CA,18400,44.5,0.015,31800,74.2,1230,18.2,52500,4500,137500,970,600,1395,40,0,2900,10.8,,0,550,73,2,1.9,43
1,CA,20500,116,0.039,29000,75.2,1240,20.4,52200,4700,133500,888,500,1250,40,0,3000,14.1,,0,560,80,2.2,1.7,47
1,CA,18800,534,0.152,35100,63.9,1170,25.5,52400,5600,128000,960,600,1150,30,0,1400,16.05,,0,630,75,3.8,2,44
1,CA,18400,471,0.862,64500,49,1010,18,45800,6500,94200,901,600,741,40,1.1,6100,13.25,,0,660,72,3.6,2.2,34
1,CA,22400,658,0.291,42500,65.7,1240,20.9,54700,8600,115000,975,900,958,40,0.6,4100,15.7,,0.08,910,90,3.4,2.2,52
1,CA,23000,905,0.52,24100,89.9,1680,24.8,63900,9200,113000,779,800,1275,40,1.1,11700,17.6,,0.12,1420,97,4.3,2.6,72
1,CA,44300,165.5,5.45,46900,50.6,422,113.5,54800,13200,64500,752,9700,452,1280,4.9,24500,52.1,,0.17,3030,144,25.3,8.3,38
1,CA,61500,72.3,0.007,63000,80.9,1160,41.4,78500,3500,51000,3010,21700,923,110,0.9,1500,1.72,,0,910,150,0.7,4,78
1,CA,28700,93.5,0.006,80000,77.6,1390,43.6,61300,0,104500,1140,100,1110,70,0.9,300,1.5,,0,240,110,0.3,4.5,64
1,CA,25200,60.7,0.01,90700,72.8,1280,25.2,59100,0,96600,1480,0,1155,50,0.5,100,5.04,,0,300,94,0.2,3.7,63
1,CA,18600,33.2,0.054,127000,41.6,1120,31.3,44300,8200,65000,2410,500,614,70,0,200,1.92,,0,250,68,0.4,5.1,23
0,K,26900,525,0.006,87300,76,1660,145,69200,3000,60400,2320,600,1020,160,1.2,300,5.05,,0.11,430,112,1,4.4,75
0,K,21800,227,0.041,86100,64,1260,33.3,53200,100,91900,1260,0,862,80,0.5,200,12.3,,0,310,92,0.4,3.7,50
0,K,24500,161.5,0.004,99200,66,1440,39.2,50600,2000,72800,1560,5000,945,110,0.5,300,10.85,,0,420,92,0.3,4.3,45
0,K,31600,608,0.044,94800,81.1,1970,51.5,97900,6300,38400,4100,4100,877,80,0.5,1200,15.9,,0.07,600,131,1.4,4.2,62
1,K,26100,144,0.001,72100,87.3,2280,39.1,62800,100,81000,1960,100,1055,320,0.7,100,4.95,,0,620,114,0.3,4,82
1,K,32100,765,0.005,71600,73.3,2010,43.1,78900,10900,48600,2370,3500,828,270,0.7,400,27.6,,0.08,680,132,1.5,4,62
1,K,29300,1010,0.017,63700,70.9,1610,30.6,60900,11200,67200,1340,3500,843,80,1.1,500,6.73,,0.11,610,114,1.7,3.8,61
1,K,60500,45.4,0.004,50500,44.8,16,81.5,63400,6800,20300,1820,31300,63.3,660,3,1600,6.14,,0,7600,379,5.7,10.6,142
